tmk9txt,viability_class,strict,lvpa
191031024,higher_value_development,True,1547190.141050105
191031028,durable,True,1591588.873359749
191031047,durable,True,1838790.0166245133
191031050,higher_value_development,True,1700014.0662719698
191032001,higher_value_development,True,828326.9886901048
191032080,,False,1735059.1454934576
191032084,,False,1043792.9943522366
191032092,,False,1054947.1833671557
191032113,durable,True,9.469259600045275
191043159,durable,True,8.23409147477662
191050091,,False,7236487.928052265
191051099,,False,6715559.729470144
191056001,higher_value_development,True,1355.919570439357
191056002,,False,2969484.424581888
191056003,higher_value_development,True,94914.28687841078
191056004,,False,2945280.240178705
191056005,,False,4948251.681633504
191056008,,False,96104.64729652184
191056009,,False,2982514.5002151453
191056011,higher_value_development,True,9.034746777607303
191056013,,False,2885893.864915235
191056014,,False,2822439.592700494
191056015,,False,94137.77696757035
191056020,higher_value_development,True,95379.9111643527
191056022,,False,3104956.131924635
191056023,higher_value_development,True,95322.12464990612
191057001,,False,223258.27781941753
191057006,higher_value_development,True,6938705.004817702
191057007,,False,6992790.793058851
191057013,,False,6993062.713316207
191057019,higher_value_development,True,1470503.4219280274
191057027,,False,856235.0696762607
191057029,,False,162485.8560503956
191057034,,False,15504370.610632032
191057038,higher_value_development,True,6.926694183843402
191057050,higher_value_development,True,2473666.2680950155
191061002,,False,84001.65052951341
191069003,durable,True,579810.1299576061
191069010,,False,83757.0164262625
191069011,,False,62525.31240629494
191069027,,False,936338.038625577
191069044,higher_value_development,True,1652111.0640923164
191069045,higher_value_development,True,2606617.764079631
191073047,,False,
191075022,,False,3433742.660746266
191075036,durable,True,8.184790880361719
191075050,,False,2909707.4982897732
191106020,,False,1695956.103011698
191115013,,False,1920815.5920668407
191118001,,False,1838256.8915499935
191118018,,False,1933800.141537998
191126010,,False,1267938.8519777039
191126015,,False,1250993.2394052409
191126016,durable,True,1290733.7390337621
191126020,,False,
191134006,durable,True,1307.0267451972447
191134009,,False,56664.02938922782
191134028,higher_value_development,True,9.226854893063987
191134038,higher_value_development,True,1906241.9937212772
191134043,,False,56628.618752210874
191134056,,False,127026.80774694764
191134067,higher_value_development,True,1888040.4994084472
191134077,,False,
191134078,higher_value_development,True,23554.462835955037
191134083,higher_value_development,True,390968.3844611783
191136064,higher_value_development,True,50.994463306697305
191139173,durable,True,7.625626751094967
191141001,,False,9383093.019268855
191148037,higher_value_development,True,1658711.2644217531
191151055,durable,True,492.92586137960456
191160014,,False,1782138.000230161
191160021,durable,True,1315.147149991287
191160023,,False,2019162.078650731
191160024,,False,2357445.746119391
191160035,,False,61227.75295911972
191160051,,False,8059770.266372642
191160052,,False,8619416.643880656
191160064,durable,True,1057302.5467493322
