step,seg_km,cum_km,cum_acres_le30,cum_acres_le15,marginal_ac_per_km,segment_wkt,smoothed_ac_per_km
117,0.483,86.849,34945.7,30523.5,98.9,"LINESTRING (600328.8109639742 2381883.0420877915, 600328.8109639742 2382083.0420877915, 600528.8109639742 2382283.0420877915)",117.5
118,0.924,87.774,35034.4,30602.9,95.9,"LINESTRING (598128.8109639742 2390383.0420877915, 598128.8109639742 2390683.0420877915, 598028.8109639742 2390783.0420877915, 598228.8109639742 2390983.0420877915, 598228.8109639742 2391183.0420877915)",116.4
119,0.483,88.257,35080.2,30648.6,94.8,"LINESTRING (602728.8109639742 2359283.0420877915, 602528.8109639742 2359283.0420877915, 602328.8109639742 2359083.0420877915)",91.5
120,0.524,88.781,35129.5,30694.5,94.1,"LINESTRING (597328.8109639742 2372183.0420877915, 597428.8109639742 2372183.0420877915, 597728.8109639742 2371883.0420877915)",93.9
121,1.083,89.864,35209.6,30769.9,74.0,"LINESTRING (599028.8109639742 2363683.0420877915, 599828.8109639742 2363683.0420877915, 600028.8109639742 2363483.0420877915)",93.0
122,0.524,90.388,35267.7,30827.7,110.8,"LINESTRING (600028.8109639742 2363483.0420877915, 600128.8109639742 2363483.0420877915, 600428.8109639742 2363183.0420877915)",91.7
123,1.107,91.495,35368.7,30913.7,91.2,"LINESTRING (597728.8109639742 2371883.0420877915, 598128.8109639742 2371883.0420877915, 598628.8109639742 2371383.0420877915)",104.9
124,0.666,92.161,35427.5,30955.9,88.3,"LINESTRING (599328.8109639742 2394883.0420877915, 599828.8109639742 2394483.0420877915)",107.0
125,0.383,92.544,35488.9,31013.2,160.3,"LINESTRING (599828.8109639742 2394483.0420877915, 599828.8109639742 2394383.0420877915, 600028.8109639742 2394183.0420877915)",98.9
126,0.483,93.026,35529.7,31032.9,84.5,"LINESTRING (593528.8109639742 2379583.0420877915, 593928.8109639742 2379783.0420877915)",102.4
127,1.024,94.051,35601.4,31100.2,70.0,"LINESTRING (599228.8109639742 2388383.0420877915, 599528.8109639742 2388183.0420877915, 600128.8109639742 2388083.0420877915)",101.3
128,0.583,94.634,35664.9,31159.8,108.9,"LINESTRING (600128.8109639742 2388083.0420877915, 600228.8109639742 2387983.0420877915, 600528.8109639742 2387983.0420877915, 600628.8109639742 2388083.0420877915)",85.8
129,0.5,95.134,35706.3,31198.2,82.8,"LINESTRING (601328.8109639742 2376483.0420877915, 601328.8109639742 2375983.0420877915)",85.3
130,0.524,95.658,35749.7,31234.5,82.8,"LINESTRING (610828.8109639742 2393283.0420877915, 610828.8109639742 2393183.0420877915, 611128.8109639742 2392883.0420877915)",87.5
131,0.5,96.158,35790.7,31261.2,82.1,"LINESTRING (597328.8109639742 2372583.0420877915, 596828.8109639742 2372583.0420877915)",84.7
132,0.5,96.658,35831.2,31287.2,81.0,"LINESTRING (597328.8109639742 2363983.0420877915, 597328.8109639742 2364483.0420877915)",84.1
133,0.907,97.565,35917.0,31365.2,94.6,"LINESTRING (599328.8109639742 2385583.0420877915, 599628.8109639742 2385483.0420877915, 600028.8109639742 2385883.0420877915)",82.3
134,0.624,98.189,35966.9,31411.8,80.0,"LINESTRING (603728.8109639742 2381283.0420877915, 603928.8109639742 2381083.0420877915, 604228.8109639742 2380983.0420877915)",81.3
135,1.09,99.279,36047.4,31478.5,73.9,"LINESTRING (597728.8109639742 2367383.0420877915, 597728.8109639742 2367283.0420877915, 598428.8109639742 2366583.0420877915)",80.4
136,0.5,99.779,36085.8,31501.5,76.8,"LINESTRING (603528.8109639742 2398183.0420877915, 603528.8109639742 2397683.0420877915)",67.6
137,0.524,100.303,36125.9,31515.4,76.5,"LINESTRING (596128.8109639742 2366483.0420877915, 596128.8109639742 2366583.0420877915, 595828.8109639742 2366883.0420877915)",51.9
138,1.124,101.428,36160.5,31539.7,30.8,"LINESTRING (611128.8109639742 2392883.0420877915, 611128.8109639742 2392183.0420877915, 611428.8109639742 2391883.0420877915)",37.1
139,1.049,102.476,36162.0,31540.6,1.4,"LINESTRING (611428.8109639742 2391883.0420877915, 611428.8109639742 2391683.0420877915, 612028.8109639742 2391083.0420877915)",46.1
140,1.049,103.525,36162.0,31540.6,0.0,"LINESTRING (612028.8109639742 2391083.0420877915, 612028.8109639742 2390883.0420877915, 612628.8109639742 2390283.0420877915)",74.7
141,1.049,104.573,36290.0,31665.2,122.0,"LINESTRING (612628.8109639742 2390283.0420877915, 612628.8109639742 2390083.0420877915, 613228.8109639742 2389483.0420877915)",100.5
142,0.583,105.156,36417.7,31789.1,219.1,"LINESTRING (613228.8109639742 2389483.0420877915, 613228.8109639742 2389183.0420877915, 613428.8109639742 2388983.0420877915)",130.9
143,1.049,106.205,36585.4,31945.8,159.9,"LINESTRING (613428.8109639742 2388983.0420877915, 613428.8109639742 2388783.0420877915, 614028.8109639742 2388183.0420877915)",189.4
144,1.066,107.27,36749.1,32096.1,153.6,"LINESTRING (614028.8109639742 2388183.0420877915, 614028.8109639742 2387783.0420877915, 614428.8109639742 2387283.0420877915)",206.1
145,0.624,107.895,36931.5,32263.3,292.2,"LINESTRING (614428.8109639742 2387283.0420877915, 614728.8109639742 2386783.0420877915)",181.1
146,0.483,108.377,37030.9,32349.0,205.9,"LINESTRING (614728.8109639742 2386783.0420877915, 614728.8109639742 2386583.0420877915, 614928.8109639742 2386383.0420877915)",164.2
147,0.5,108.877,37077.8,32385.2,93.9,"LINESTRING (614928.8109639742 2386383.0420877915, 614928.8109639742 2385883.0420877915)",148.0
148,1.007,109.884,37153.7,32395.3,75.4,"LINESTRING (591328.8109639742 2383383.0420877915, 591228.8109639742 2383583.0420877915, 591128.8109639742 2383483.0420877915, 591128.8109639742 2383283.0420877915, 590828.8109639742 2382983.0420877915)",104.1
149,0.483,110.367,37188.8,32420.7,72.8,"LINESTRING (594928.8109639742 2375683.0420877915, 594928.8109639742 2375483.0420877915, 595128.8109639742 2375283.0420877915)",77.2
150,0.6,110.967,37232.2,32453.2,72.4,"LINESTRING (604328.8109639742 2377983.0420877915, 604928.8109639742 2377983.0420877915)",72.3
151,0.483,111.45,37266.6,32486.7,71.3,"LINESTRING (598628.8109639742 2380683.0420877915, 598428.8109639742 2380683.0420877915, 598228.8109639742 2380483.0420877915)",71.0
152,0.483,111.933,37300.3,32513.8,69.8,"LINESTRING (597328.8109639742 2394183.0420877915, 597728.8109639742 2393983.0420877915)",70.6
153,0.424,112.357,37329.5,32543.0,68.8,"LINESTRING (609628.8109639742 2395083.0420877915, 609928.8109639742 2395383.0420877915)",70.0
