tmk_or_site,type,acres_total,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,owner,land_value_per_ac,viability_class,low_improvement_flag,notes,source
126005001,military_note,70.7,69.9,70.7,2.36,4.77,UNITED STATES OF AMERICA,59680893.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
126029002,urban_parcel,10.7,10.7,10.7,2.52,5.3,DEPARTMENT OF EDUCATION,17424305.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
127020001,urban_parcel,22.5,22.6,22.6,1.58,4.77,IOLANI SCHOOL,8393615.0,higher_value_development,True,owner suggests school; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
127024001,urban_parcel,34.1,33.8,34.1,1.03,4.08,CITY AND COUNTY OF HONOLULU,8043076.0,uncertain,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
127036001,urban_parcel,23.9,23.8,23.8,1.86,4.73,STATE OF HAWAII,145392.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
127036002,urban_parcel,138.1,138.0,138.2,1.55,4.65,STATE OF HAWAII,75374.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
128015001,urban_parcel,15.4,15.4,15.5,0.75,3.89,STATE OF HAWAII,2231135.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
128018001,urban_parcel,69.3,47.9,63.2,1.34,3.57,PUNAHOU SCHOOL,4630468.0,higher_value_development,True,owner suggests school; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
128023003,urban_parcel,103.1,99.0,101.5,0.0,2.97,UNIVERSITY OF HAWAII,4600293.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
128029001,urban_parcel,87.7,75.6,82.1,0.14,3.25,STATE OF HAWAII,3455925.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
129004002,urban_parcel,22.0,16.9,21.3,0.56,3.03,MID-PACIFIC INSTITUTE,1687719.0,higher_value_development,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
129004003,urban_parcel,12.1,11.5,12.2,0.54,3.04,MID-PACIFIC INSTITUTE,1705892.0,higher_value_development,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
129004005,urban_parcel,20.9,20.7,21.0,0.49,2.79,STATE OF HAWAII,3220644.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
129036003,urban_parcel,42.9,41.8,42.8,0.82,1.99,CITY AND COUNTY OF HONOLULU,276004.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
129043001,urban_parcel,10.7,7.3,10.2,1.02,1.54,LIN YEE CHUNG ASSOCIATION,1307.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
129043002,urban_parcel,14.5,13.6,14.4,0.81,1.37,"CHUNG,LIN YEE",125142.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
131042009,urban_parcel,51.5,38.8,50.6,2.46,4.57,STATE OF HAWAII,6558755.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
131042018,urban_parcel,10.2,9.2,10.1,3.14,5.49,STATE OF HAWAII,46104.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
131043001,urban_parcel,139.4,138.9,139.5,2.71,5.35,STATE OF HAWAII,43160.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
132059002,urban_parcel,17.5,17.5,17.5,2.43,4.65,CITY AND COUNTY OF HONOLULU,4604020.0,uncertain,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
132060001,urban_parcel,22.8,22.8,22.8,2.64,4.9,DIAMOND HD MEM PK ASSN LTD,9.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
